case_id,tau_ps,sigma_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_thickness_um,true_eps_inf,true_tau_ps,true_sigma_s_per_m,fit_thickness_um,fit_plasma_freq_thz,fit_gamma_thz,fit_tau_ps,fit_sigma_s_per_m,signed_err_sigma_s_per_m,abs_err_sigma_s_per_m,signed_err_tau_ps,abs_err_tau_ps,signed_err_thickness_um,abs_err_thickness_um,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau_ps,fit_minus_initial_tau_ps,stuck_to_initial_tau_ps,initial_sigma_s_per_m,fit_minus_initial_sigma_s_per_m,stuck_to_initial_sigma_s_per_m
20,0.85,0.01,transmission,45.0,s,110.0,8.17638968052857e-11,9.571940929696935e-10,3.093855350480519e-05,1.7806071534622805e-06,3.09131593406488e-05,5.854625832472232e-06,0.5910788430515737,0.4692566952480995,0.009514206612114199,525.0,11.7,0.85,0.01,524.9999746542417,0.005716155718401759,0.18153422455167403,0.8767214198036338,0.010013322098387687,-1.3322098387686526e-05,1.3322098387686526e-05,-0.02672141980363385,0.02672141980363385,2.5345758331241086e-05,2.5345758331241086e-05,1.8008458193901259e-06,1020.0,0.5694774504065014,1.7786630137857306e-06,90.19948642495557,local,3.1566609547937345e-06,8.17638968052857e-11,0.9999740979794864,False,0.316,0.5607214198036339,False,0.09999999999999999,-0.0899866779016123,False
21,0.8875,0.01,transmission,45.0,s,110.0,8.246889102781074e-11,1.014340884079628e-09,3.184871871959103e-05,1.8329929218258613e-06,3.184869208863341e-05,6.696995901511911e-06,0.5914773787892678,0.4693389717768313,0.010390963288741369,525.0,11.7,0.8875,0.01,524.9999959970272,0.005676221143816155,0.18362844268903972,0.8667227187751719,0.009761291030484686,0.0002387089695153142,0.0002387089695153142,0.020777281224828026,0.020777281224828026,4.002972787020553e-06,4.002972787020553e-06,1.8008487426564528e-06,1021.0,0.5694783748244815,1.8284389953762068e-06,89.95977057211441,local,3.165539350255491e-06,8.246889102781074e-11,0.999973947917905,False,0.316,0.550722718775172,False,0.09999999999999999,-0.0902387089695153,False
22,0.9249999999999999,0.01,transmission,45.0,s,110.0,1.0693904368672058e-10,9.658508045616988e-10,3.107814030088833e-05,1.7886474620285447e-06,3.107760893023926e-05,6.793922096218555e-06,0.5880468633742996,0.46811451156217704,0.008419229763738982,525.0,11.7,0.9249999999999999,0.01,524.9999884337728,0.005559544052151001,0.16870367321855562,0.9433993940707509,0.01019253968738592,-0.00019253968738591927,0.00019253968738591927,-0.018399394070750974,0.018399394070750974,1.156622715825506e-05,1.156622715825506e-05,1.8008514196082019e-06,1022.0,0.5694792213509529,1.785975906080655e-06,90.16388651490706,local,3.1747634341840833e-06,1.0693904368672058e-10,0.9999663159016715,False,0.316,0.627399394070751,False,0.09999999999999999,-0.08980746031261408,False
23,0.9624999999999999,0.01,transmission,45.0,s,110.0,7.560211402432058e-11,9.462773584060802e-10,3.07616215178277e-05,1.770436030782802e-06,3.072201235328037e-05,5.60582844282443e-06,0.5870881105637834,0.46762910057738954,0.006896164563106636,525.0,11.7,0.9624999999999999,0.01,524.9999956309849,0.005391350620599651,0.16537742872781722,0.962374033241483,0.009777943336732983,0.0002220566632670177,0.0002220566632670177,0.00012596675851694883,0.00012596675851694883,4.369015073280025e-06,4.369015073280025e-06,1.8008538785430199e-06,1023.0,0.5694799989344171,1.766281225240216e-06,90.26021814626752,local,3.193203605982137e-06,7.560211402432058e-11,0.9999763240546633,False,0.316,0.6463740332414829,False,0.09999999999999999,-0.090222056663267,False
24,1.0,0.01,transmission,45.0,s,110.0,7.227738333808004e-11,9.385517093185122e-10,3.063579131209952e-05,1.7631954720986937e-06,3.0614167858321144e-05,5.119614252797541e-06,0.5864708569895928,0.4672925263460514,0.011319334091817478,525.0,11.7,1.0,0.01,524.9999866809146,0.005348669543041127,0.1633576456887972,0.9742729972681646,0.009742729972681647,0.00025727002731835286,0.00025727002731835286,0.02572700273183537,0.02572700273183537,1.3319085383045604e-05,1.3319085383045604e-05,1.800856143651231e-06,1024.0,0.5694807152245265,1.7598335626420392e-06,90.29199864355795,local,3.197441846769255e-06,7.227738333808004e-11,0.99997739524695,False,0.316,0.6582729972681647,False,0.09999999999999999,-0.09025727002731834,False
25,0.1,0.051250000000000004,transmission,45.0,s,110.0,7.997538644285375e-11,9.790984617452517e-10,3.1290549080277434e-05,1.7979850928433036e-06,3.129020798105123e-05,6.384621124483347e-06,0.890894015881348,0.6819344849030994,0.0004433593761816709,525.0,11.7,0.1,0.051250000000000004,525.0000078377353,0.03828136915446778,1.5895866406675285,0.10012347802889189,0.05128841977228418,-3.841977228417892e-05,3.841977228417892e-05,-0.0001234780288918852,0.0001234780288918852,-7.837735324756068e-06,7.837735324756068e-06,1.7989492388593072e-06,1025.0,0.5688776989821697,1.7967415293051858e-06,90.09774987078636,local,7.850884613009568e-07,7.997538644285375e-11,0.9998981320062833,False,0.316,-0.21587652197110813,False,0.09999999999999999,-0.04871158022771581,False
26,0.1375,0.051250000000000004,transmission,45.0,s,110.0,9.110610326682314e-11,9.704632082330026e-10,3.115225847724371e-05,1.7904816726113385e-06,3.1127610874275584e-05,6.193993526674817e-06,0.7706452741131352,0.48064243216573027,0.0012336157867810574,525.0,11.7,0.1375,0.051250000000000004,525.0000049385291,0.032624524733566945,1.153326681856135,0.13799641124729325,0.05134103815794162,-9.10381579416128e-05,9.10381579416128e-05,-0.0004964112472932436,0.0004964112472932436,-4.938529059472785e-06,4.938529059472785e-06,1.7992532564723597e-06,1026.0,0.568973837792775,1.7984630595340377e-06,90.09157334816813,local,5.635842355544856e-07,9.110610326682314e-11,0.9998383451886705,False,0.316,-0.17800358875270675,False,0.09999999999999999,-0.048658961842058375,False
27,0.175,0.051250000000000004,transmission,45.0,s,110.0,8.805499471031695e-11,1.0282485821513062e-09,3.206631538158549e-05,1.8434027318872133e-06,3.2064712803594974e-05,6.746715145881932e-06,0.6792049598042329,0.3968440440527443,0.0017840068191826161,525.0,11.7,0.175,0.051250000000000004,524.999953530277,0.02895609300596968,0.9135337754994431,0.17421900247189312,0.051060365020077395,0.00018963497992260936,0.00018963497992260936,0.0007809975281068693,0.0007809975281068693,4.646972297450702e-05,4.646972297450702e-05,1.799499944890081e-06,1027.0,0.5690518475200133,1.8370996351886696e-06,89.9087679674843,local,5.118426256575869e-07,8.805499471031695e-11,0.999827964709666,False,0.316,-0.14178099752810688,False,0.09999999999999999,-0.0489396349799226,False
28,0.2125,0.051250000000000004,transmission,45.0,s,110.0,8.757035143971093e-11,1.0106244467415531e-09,3.179032001634386e-05,1.8278502633606056e-06,3.1754589650466774e-05,5.6609067025535295e-06,0.6218766143724276,0.3923888624655277,0.000509487871562412,525.0,11.7,0.2125,0.051250000000000004,524.9999836180999,0.02625801331418356,0.749542580073603,0.2123360931359854,0.05117478389041291,7.521610958709235e-05,7.521610958709235e-05,0.0001639068640146013,0.0001639068640146013,1.638190008179663e-05,1.638190008179663e-05,1.7996970704699418e-06,1028.0,0.5691141841017574,1.82610208595562e-06,89.96240908839579,local,5.46691176173323e-07,8.757035143971093e-11,0.9998398175144281,False,0.316,-0.10366390686401461,False,0.09999999999999999,-0.04882521610958708,False
29,0.25,0.051250000000000004,transmission,45.0,s,110.0,7.061041143980871e-11,9.373997792178763e-10,3.0616985142529564e-05,1.7606305194129177e-06,3.0616665422287034e-05,5.108901487454326e-06,0.5933348919879536,0.3842573986786742,0.00019433137508088574,525.0,11.7,0.25,0.051250000000000004,524.9999772213471,0.024213207859545054,0.6367821780576925,0.24993623970028236,0.051220328408294415,2.967159170558925e-05,2.967159170558925e-05,6.376029971763564e-05,6.376029971763564e-05,2.277865291944181e-05,2.277865291944181e-05,1.7998551212217639e-06,1029.0,0.5691641641379234,1.7592080403176153e-06,90.28777209330697,local,6.288125601776756e-07,7.061041143980871e-11,0.9998877083316849,False,0.316,-0.06606376029971764,False,0.09999999999999999,-0.04877967159170558,False
