case_id,tau_ps,sigma_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_thickness_um,true_eps_inf,true_tau_ps,true_sigma_s_per_m,fit_thickness_um,fit_plasma_freq_thz,fit_gamma_thz,fit_tau_ps,fit_sigma_s_per_m,signed_err_sigma_s_per_m,abs_err_sigma_s_per_m,signed_err_tau_ps,abs_err_tau_ps,signed_err_thickness_um,abs_err_thickness_um,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau_ps,fit_minus_initial_tau_ps,stuck_to_initial_tau_ps,initial_sigma_s_per_m,fit_minus_initial_sigma_s_per_m,stuck_to_initial_sigma_s_per_m
20,0.85,100.0,transmission,45.0,p,110.0,4.698132497398093e-11,6.864852739464648e-10,2.620086399236607e-05,1.5273774759132056e-06,2.617931387243077e-05,5.0983376804938484e-06,0.747430591071723,0.31324588567416556,2.464078771760784e-07,725.0,11.7,0.85,100.0,725.0000140055926,0.5801443944799761,0.18724096188409492,0.8500006702081285,99.99998512432954,1.4875670458991408e-05,1.4875670458991408e-05,-6.702081285503425e-07,6.702081285503425e-07,-1.4005592561261437e-05,1.4005592561261437e-05,1.5463389508614841e-06,1020.0,0.488995311935748,1.5272911589982771e-06,91.63417270352986,local,1.1770055189566233,4.698132497398093e-11,0.999999999960084,False,0.316,0.5340006702081286,False,316.22776601683796,-216.2277808925084,False
21,0.8875,100.0,transmission,45.0,p,110.0,4.388760511537457e-11,7.357313233447589e-10,2.7124367704054576e-05,1.6048299883563938e-06,2.712434487735974e-05,5.669827612245611e-06,0.744914534602283,0.31075189165721834,1.174716189021448e-06,725.0,11.7,0.8875,100.0,724.9999920659378,0.5677554785049671,0.1793298829401336,0.8874981708710905,99.99967774123091,0.0003222587690885348,0.0003222587690885348,1.8291289094474195e-06,1.8291289094474195e-06,7.934062182357593e-06,7.934062182357593e-06,1.5817570376370723e-06,1021.0,0.5001954943933827,1.6059906533626383e-06,91.32652905741905,local,1.1706166626440906,4.388760511537457e-11,0.999999999962509,False,0.316,0.5714981708710904,False,316.22776601683796,-216.22808827560704,False
22,0.9249999999999999,100.0,transmission,45.0,p,110.0,0.7377705879249068,0.8461197966754305,0.9198477029788302,0.055159718581672984,0.9198477029788283,0.49155456163791955,0.8417170845666861,0.3575789187954726,0.732066706104971,725.0,11.7,0.9249999999999999,100.0,715.0,1.7604277294896808,0.15915494309189535,1.0,1083.2903342287987,-983.2903342287987,983.2903342287987,-0.07500000000000007,0.07500000000000007,10.0,10.0,1.6145465171539373e-06,1022.0,0.5105644382498559,1.6012099318613073e-06,91.46914821803824,local,1.1649137551134927,0.7377705879249068,0.36667364027045174,False,0.316,0.6839999999999999,False,316.22776601683796,767.0625682119608,False
23,0.9624999999999999,100.0,transmission,45.0,p,110.0,0.7396154778108124,0.8479390963683421,0.9208360855050925,0.05589816395324896,0.9208360855049418,0.5000533610751215,0.8415972205129362,0.35740344767886406,0.7303404840035438,725.0,11.7,0.9624999999999999,100.0,715.0,1.756336709454166,0.15915494309189535,1.0,1078.2613143504443,-978.2613143504443,978.2613143504443,-0.03750000000000009,0.03750000000000009,10.0,10.0,1.644951431590859e-06,1023.0,0.5201793164181767,1.6133717813915565e-06,91.50961297338912,local,1.1597851967695874,0.7396154778108124,0.3622823606725594,False,0.316,0.6839999999999999,False,316.22776601683796,762.0335483336064,False
24,1.0,100.0,transmission,45.0,p,110.0,0.7412427441199889,0.849634496853713,0.9217562025035214,0.05658192507145328,0.9217562025034395,0.5078962423132881,0.8414875924767935,0.35724283423808484,0.7289422440125154,725.0,11.7,1.0,100.0,715.0,1.75261195797097,0.15915494309189535,1.0,1073.6927180545438,-973.6927180545438,973.6927180545438,0.0,0.0,10.0,10.0,1.6731907440840043e-06,1024.0,0.5291093711217354,1.635076315518914e-06,91.49047704485017,local,1.1551649814116218,0.7412427441199889,0.3583230481812358,False,0.316,0.6839999999999999,False,316.22776601683796,757.4649520377059,False
25,0.1,137.5,transmission,45.0,p,110.0,0.9826869294169381,1.0158159557523294,1.007876954668738,0.001966948859855845,1.0078769546687383,0.021778814249545655,0.9055141503951529,0.5201008196371827,0.8955048289338642,725.0,11.7,0.1,137.5,715.0,3.8330224209627026,0.43591976178753705,0.3651014637172285,1875.0150584250118,-1737.5150584250118,1737.5150584250118,-0.26510146371722854,0.26510146371722854,10.0,10.0,6.862680282983758e-08,1025.0,0.02170170054775755,6.854258252778796e-08,89.08850609508535,local,13.195471232213063,0.9826869294169381,0.9255284701755871,False,0.316,0.04910146371722851,False,316.22776601683796,1558.787292408174,False
26,0.1375,137.5,transmission,45.0,p,110.0,8.865657161440298e-11,1.2794568253200604e-09,3.57694957375703e-05,1.581525154217423e-07,3.574144155183504e-05,5.475476975488739e-07,0.584458033232583,0.40819650672884905,6.715622467289052e-08,725.0,11.7,0.1375,137.5,724.9999948954361,1.6913977408509733,1.1574906109581988,0.137499986250552,137.49997325864467,2.6741355327430938e-05,2.6741355327430938e-05,1.3749448024569233e-08,1.3749448024569233e-08,5.104563911118021e-06,5.104563911118021e-06,1.5823374947375741e-07,1026.0,0.05003790510455431,1.5816425629711948e-07,88.92909726649305,local,3.1424548215148542,8.865657161440298e-11,0.9999999999717875,False,0.316,-0.17850001374944802,False,316.22776601683796,-178.7277927581933,False
27,0.175,137.5,transmission,45.0,p,110.0,7.358684576564112e-11,1.2650662954746091e-09,3.556777045970986e-05,2.785067860609769e-07,3.556597736799999e-05,8.881413059703383e-07,0.5781153319712141,0.39837253617210494,1.5174418149682933e-07,725.0,11.7,0.175,137.5,724.9999899319039,1.499263466195266,0.9094563863946636,0.17500008298674938,137.49998090227453,1.9097725470373916e-05,1.9097725470373916e-05,-8.298674938900241e-08,8.298674938900241e-08,1.006809611681092e-05,1.006809611681092e-05,2.730581968871049e-07,1027.0,0.08634858359419507,2.7876361725434915e-07,88.97085066903301,local,1.9078737974324167,7.358684576564112e-11,0.9999999999614299,False,0.316,-0.14099991701325063,False,316.22776601683796,-178.72778511456343,False
28,0.2125,137.5,transmission,45.0,p,110.0,9.590938084582684e-11,1.175176102940987e-09,3.4280841631164586e-05,4.0381744063096586e-07,3.424219539932246e-05,1.2965851197969838e-06,0.660524301905394,0.3885018816597991,3.948746485694394e-07,725.0,11.7,0.2125,137.5,725.0000072726657,1.3605601364624331,0.748963938078776,0.21250014186284552,137.50015110823387,-0.00015110823386521588,0.00015110823386521588,-1.4186284552630823e-07,1.4186284552630823e-07,-7.272665698110359e-06,7.272665698110359e-06,3.981988982282355e-07,1028.0,0.1259215480170811,4.0404124150180134e-07,89.29415876126825,local,1.7146960717446271,9.590938084582684e-11,0.9999999999440663,False,0.316,-0.10349985813715448,False,316.22776601683796,-178.7276149086041,False
29,0.25,137.5,transmission,45.0,p,110.0,7.120860949263642e-11,1.06691953693557e-09,3.266373427726184e-05,5.202921761197443e-07,3.2663391234215965e-05,1.544324562369301e-06,0.7065069565795903,0.3960351863747833,3.832848131249708e-07,725.0,11.7,0.25,137.5,724.9999797693682,1.2543734924330585,0.6366198491349282,0.24999996985353704,137.49982918804648,0.0001708119535237529,0.0001708119535237529,3.01464629648418e-08,3.01464629648418e-08,2.023063177603035e-05,2.023063177603035e-05,5.33401397165429e-07,1029.0,0.1686763322158837,5.21355311072483e-07,89.70094000684466,local,1.6593936385620234,7.120860949263642e-11,0.9999999999570875,False,0.316,-0.06600003014646297,False,316.22776601683796,-178.72793682879148,False
