case_id,param_i,param_j,correlation
20,film_gamma_thz,film_gamma_thz,1.0
21,film_thickness_um,film_thickness_um,1.0
21,film_thickness_um,film_plasma_freq_thz,0.744914534602283
21,film_thickness_um,film_gamma_thz,-0.020521088937408165
21,film_plasma_freq_thz,film_thickness_um,0.744914534602283
21,film_plasma_freq_thz,film_plasma_freq_thz,1.0
21,film_plasma_freq_thz,film_gamma_thz,0.1668200514319639
21,film_gamma_thz,film_thickness_um,-0.020521088937408165
21,film_gamma_thz,film_plasma_freq_thz,0.1668200514319639
21,film_gamma_thz,film_gamma_thz,1.0
22,film_thickness_um,film_thickness_um,1.0
22,film_thickness_um,film_plasma_freq_thz,0.8417170845666861
22,film_thickness_um,film_gamma_thz,-0.16587794859435243
22,film_plasma_freq_thz,film_thickness_um,0.8417170845666861
22,film_plasma_freq_thz,film_plasma_freq_thz,1.0
22,film_plasma_freq_thz,film_gamma_thz,-0.06514172322537948
22,film_gamma_thz,film_thickness_um,-0.16587794859435243
22,film_gamma_thz,film_plasma_freq_thz,-0.06514172322537948
22,film_gamma_thz,film_gamma_thz,1.0
23,film_thickness_um,film_thickness_um,1.0
23,film_thickness_um,film_plasma_freq_thz,0.8415972205129362
23,film_thickness_um,film_gamma_thz,-0.16573265042821322
23,film_plasma_freq_thz,film_thickness_um,0.8415972205129362
23,film_plasma_freq_thz,film_plasma_freq_thz,1.0
23,film_plasma_freq_thz,film_gamma_thz,-0.06488047209544275
23,film_gamma_thz,film_thickness_um,-0.16573265042821322
23,film_gamma_thz,film_plasma_freq_thz,-0.06488047209544275
23,film_gamma_thz,film_gamma_thz,1.0
24,film_thickness_um,film_thickness_um,1.0
24,film_thickness_um,film_plasma_freq_thz,0.8414875924767935
24,film_thickness_um,film_gamma_thz,-0.16559947178517215
24,film_plasma_freq_thz,film_thickness_um,0.8414875924767935
24,film_plasma_freq_thz,film_plasma_freq_thz,1.0
24,film_plasma_freq_thz,film_gamma_thz,-0.06464143845228885
24,film_gamma_thz,film_thickness_um,-0.16559947178517215
24,film_gamma_thz,film_plasma_freq_thz,-0.06464143845228885
24,film_gamma_thz,film_gamma_thz,1.0
25,film_thickness_um,film_thickness_um,1.0
25,film_thickness_um,film_plasma_freq_thz,0.9055141503951529
25,film_thickness_um,film_gamma_thz,-0.3804067851385228
25,film_plasma_freq_thz,film_thickness_um,0.9055141503951529
25,film_plasma_freq_thz,film_plasma_freq_thz,1.0
25,film_plasma_freq_thz,film_gamma_thz,-0.27438152337787225
25,film_gamma_thz,film_thickness_um,-0.3804067851385228
25,film_gamma_thz,film_plasma_freq_thz,-0.27438152337787225
25,film_gamma_thz,film_gamma_thz,1.0
26,film_thickness_um,film_thickness_um,1.0
26,film_thickness_um,film_plasma_freq_thz,0.4146531561296531
26,film_thickness_um,film_gamma_thz,-0.584458033232583
26,film_plasma_freq_thz,film_thickness_um,0.4146531561296531
26,film_plasma_freq_thz,film_plasma_freq_thz,1.0
26,film_plasma_freq_thz,film_gamma_thz,0.2254783308243109
26,film_gamma_thz,film_thickness_um,-0.584458033232583
26,film_gamma_thz,film_plasma_freq_thz,0.2254783308243109
26,film_gamma_thz,film_gamma_thz,1.0
27,film_thickness_um,film_thickness_um,1.0
27,film_thickness_um,film_plasma_freq_thz,0.5781153319712141
27,film_thickness_um,film_gamma_thz,-0.5444798243816832
27,film_plasma_freq_thz,film_thickness_um,0.5781153319712141
27,film_plasma_freq_thz,film_plasma_freq_thz,1.0
27,film_plasma_freq_thz,film_gamma_thz,0.07252245216341771
27,film_gamma_thz,film_thickness_um,-0.5444798243816832
