case_id,tau2_ps,sigma2_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_epi_thickness_um,true_oxide_thickness_um,true_substrate_thickness_um,true_eps_inf,true_tau1_ps,true_sigma1_s_per_m,true_tau2_ps,true_sigma2_s_per_m,fit_epi_thickness_um,fit_oxide_thickness_um,fit_substrate_thickness_um,fit_eps_inf,fit_tau1_ps,fit_sigma1_s_per_m,fit_tau2_ps,fit_sigma2_s_per_m,fit_plasma_freq1_thz,fit_gamma1_thz,fit_plasma_freq2_thz,fit_gamma2_thz,signed_err_epi_thickness_um,abs_err_epi_thickness_um,signed_err_eps_inf,abs_err_eps_inf,signed_err_oxide_thickness_um,abs_err_oxide_thickness_um,signed_err_sigma1_s_per_m,abs_err_sigma1_s_per_m,signed_err_sigma2_s_per_m,abs_err_sigma2_s_per_m,signed_err_substrate_thickness_um,abs_err_substrate_thickness_um,signed_err_tau1_ps,abs_err_tau1_ps,signed_err_tau2_ps,abs_err_tau2_ps,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau2_ps,fit_minus_initial_tau2_ps,stuck_to_initial_tau2_ps,initial_sigma2_s_per_m,fit_minus_initial_sigma2_s_per_m,stuck_to_initial_sigma2_s_per_m
263,0.8354166666666666,708.3333333333333,transmission,45.0,s,110.0,5.892594852991143e-11,7.389123878088618e-10,2.718294295709833e-05,1.0324995404692964e-06,2.7547692355284736e-05,3.19767118159113e-06,0.9755581678891029,0.49339143887000575,4.2616740837044836e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.8354166666666666,708.3333333333333,70.00001515940629,10.000006016381283,725.0,11.7,0.18709449929538952,31.626260818073984,0.8354279645602037,708.3355391709323,0.6954071973154634,0.8506660735151679,1.5574380418362066,0.19050708121277654,-1.5159406288489663e-05,1.5159406288489663e-05,0.0,0.0,-6.016381282947236e-06,6.016381282947236e-06,-0.0034842163901913636,0.0034842163901913636,-0.002205837599035476,0.002205837599035476,0.0,0.0,-1.1629956692432719e-05,1.1629956692432719e-05,-1.129789353715438e-05,1.129789353715438e-05,1.0441115076286528e-06,1263.0,0.3301770495298815,1.0326416896135464e-06,91.3128768480979,local,0.0002176264301989747,5.892594852991143e-11,0.9999997292334921,False,0.8154753215150043,0.019952643045199392,False,707.1067811865474,1.2287579843848562,False
264,0.8458333333333332,708.3333333333333,transmission,45.0,s,110.0,7.356899130671618e-11,7.991148076376381e-10,2.826861877838459e-05,1.0780153664951726e-06,2.8653911380473654e-05,3.2521583939616044e-06,0.9750890975122799,0.4923645858283174,4.311369013205117e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.8458333333333332,708.3333333333333,69.99999731918727,10.00006317150216,725.0,11.7,0.18707872965377914,31.621158436980515,0.8458220464590381,708.3302429216965,0.6953804051467255,0.850737779684727,1.5478332033081523,0.18816599042101578,2.680812727362536e-06,2.680812727362536e-06,0.0,0.0,-6.317150216084144e-05,6.317150216084144e-05,0.0016181647032773583,0.0016181647032773583,0.00309041163677648,0.00309041163677648,0.0,0.0,4.1396849179420325e-06,4.1396849179420325e-06,1.1286874295080018e-05,1.1286874295080018e-05,1.0493822933603165e-06,1264.0,0.3318438183269589,1.0754050164571482e-06,90.99497689099245,local,0.0005181242030538823,7.356899130671618e-11,0.9999998580089661,False,0.8154753215150043,0.030346724944033787,False,707.1067811865474,1.2234617351490442,False
265,0.85625,708.3333333333333,transmission,45.0,s,110.0,5.6274722551884606e-11,7.557741059614363e-10,2.7491346019455582e-05,1.0524353529437611e-06,2.7838116448581914e-05,4.6618927151582945e-06,0.9746019483723349,0.49131932695490693,4.652148584694173e-07,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.85625,708.3333333333333,70.00006735619783,9.999905335222827,725.0,11.7,0.18708423234711363,31.622634417278146,0.8562491285416154,708.334128147349,0.6953864071897071,0.8507127570034944,1.53838408707391,0.18587457526873277,-6.735619783171387e-05,6.735619783171387e-05,0.0,0.0,9.466477717268162e-05,9.466477717268162e-05,0.00014218440564661705,0.00014218440564661705,-0.0007948140157623129,0.0007948140157623129,0.0,0.0,-1.3630084165494605e-06,1.3630084165494605e-06,8.714583845659263e-07,8.714583845659263e-07,1.0549845308872806e-06,1265.0,0.3336154013848065,1.0558511701753047e-06,91.18793172485385,local,0.0009344503654578152,5.6274722551884606e-11,0.9999999397777297,False,0.8154753215150043,0.04077380702661104,False,707.1067811865474,1.227346960801583,False
266,0.8666666666666666,708.3333333333333,transmission,45.0,s,110.0,5.365036824279584e-11,7.912302050938944e-10,2.8128814498551022e-05,1.0808928074681491e-06,2.850135672480027e-05,3.294701910990308e-06,0.9740971825037089,0.49026102864495263,1.1320512292585631e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.8666666666666666,708.3333333333333,70.00005978232335,9.99994676139254,725.0,11.7,0.18711982858687654,31.63331500666791,0.8666986151139172,708.3334827418926,0.6954376743442433,0.850550923939108,1.5290813842243443,0.18363354955975825,-5.978232334769018e-05,5.978232334769018e-05,0.0,0.0,5.323860746031528e-05,5.323860746031528e-05,-0.010538404984117733,0.010538404984117733,-0.00014940855930944963,0.00014940855930944963,0.0,0.0,-3.6959248179452286e-05,3.6959248179452286e-05,-3.1948447250629286e-05,3.1948447250629286e-05,1.06046761149778e-06,1266.0,0.335349303717155,1.0842156658572809e-06,90.99029850490808,local,0.0014577932980934947,5.365036824279584e-11,0.9999999631975478,False,0.8154753215150043,0.05122329359891287,False,707.1067811865474,1.2267015553451301,False
267,0.8770833333333332,708.3333333333333,transmission,45.0,s,110.0,5.937784797554539e-11,8.238452204752042e-10,2.8702704062077567e-05,1.1069785653374338e-06,2.9087086663217195e-05,4.052397760684681e-06,0.9735726840084398,0.489177930896667,1.5473606466959032e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.8770833333333332,708.3333333333333,70.00003372737889,9.999998352081544,725.0,11.7,0.18711180412164505,31.63372394332105,0.8771266809145997,708.3402894200129,0.6954570816167174,0.8505874006133017,1.519971966292266,0.181450349823974,-3.372737889151267e-05,3.372737889151267e-05,0.0,0.0,1.647918455915942e-06,1.647918455915942e-06,-0.010947341637258745,0.010947341637258745,-0.006956086679679174,0.006956086679679174,0.0,0.0,-2.89347829479647e-05,2.89347829479647e-05,-4.3347581266450774e-05,4.3347581266450774e-05,1.0658348872250423e-06,1267.0,0.3370465853299835,1.1080385588243641e-06,90.83323616850463,local,0.0020800188210915124,5.937784797554539e-11,0.999999971453216,False,0.8154753215150043,0.06165135939959532,False,707.1067811865474,1.2335082334654999,False
268,0.8875,708.3333333333333,transmission,45.0,s,110.0,6.371981130980023e-11,7.862650443884e-10,2.8040418049458538e-05,1.085284150508609e-06,2.841079387050228e-05,3.321449973725521e-06,0.9730299538019334,0.4880789423333243,2.490584183401317e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.8875,708.3333333333333,69.99996978197612,10.000043253478665,725.0,11.7,0.18709047209550286,31.62500556579404,0.8875008608029454,708.3276298561241,0.6954008810320007,0.850684384454664,1.5110487174815566,0.17932933940808088,3.021802388047945e-05,3.021802388047945e-05,0.0,0.0,-4.3253478665405964e-05,4.3253478665405964e-05,-0.0022289641102481994,0.0022289641102481994,0.005703477209181074,0.005703477209181074,0.0,0.0,-7.602756805780153e-06,7.602756805780153e-06,-8.608029454792998e-07,8.608029454792998e-07,1.071089607876213e-06,1268.0,0.3387082739025457,1.0878993919550714e-06,91.02341100438315,local,0.0027941834637628493,6.371981130980023e-11,0.9999999771955521,False,0.8154753215150043,0.07202553928794109,False,707.1067811865474,1.2208486695766396,False
269,0.8979166666666666,708.3333333333333,transmission,45.0,s,110.0,6.867582895669042e-11,7.786382021572202e-10,2.7904089344703947e-05,1.0837460066477622e-06,2.82637997690955e-05,3.454068786670761e-06,0.972465713599525,0.48696200593567746,9.014808621362642e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.8979166666666666,708.3333333333333,69.99994499972837,10.000066999143174,725.0,11.7,0.18706554693069974,31.617454666668984,0.8978916713632551,708.3267334475136,0.695364179436044,0.8507977321492334,1.502279052878266,0.1772540587777731,5.500027162952392e-05,5.500027162952392e-05,0.0,0.0,-6.699914317387368e-05,6.699914317387368e-05,0.005321935014809043,0.005321935014809043,0.006599885819696283,0.006599885819696283,0.0,0.0,1.7322407997344413e-05,1.7322407997344413e-05,2.4995303411490255e-05,2.4995303411490255e-05,1.0762349227299802e-06,1269.0,0.3403353653242058,1.0848274889839534e-06,91.07798799583031,local,0.0035926060026359543,6.867582895669042e-11,0.999999980884119,False,0.8154753215150043,0.08241634984825075,False,707.1067811865474,1.2199522609661244,False
270,0.9083333333333332,708.3333333333333,transmission,45.0,s,110.0,6.73441834681992e-11,7.777613992267185e-10,2.788837390789786e-05,1.0867861046135135e-06,2.8237399218884212e-05,3.7454238136151556e-06,0.9718836184749452,0.4858403760787316,1.363085833065571e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.9083333333333332,708.3333333333333,69.99996634232167,10.000103611727518,725.0,11.7,0.18711660862682897,31.633214540252958,0.9083731454768911,708.3383025034839,0.6954425536165191,0.8505655604805331,1.4935989051939398,0.17520877173041025,3.365767832974598e-05,3.365767832974598e-05,0.0,0.0,-0.00010361172751771619,0.00010361172751771619,-0.010437938569165084,0.010437938569165084,-0.0049691701506162644,0.0049691701506162644,0.0,0.0,-3.3739288131884315e-05,3.3739288131884315e-05,-3.9812143557860225e-05,3.9812143557860225e-05,1.081273882341817e-06,1270.0,0.341928824265306,1.088554637552396e-06,91.07740865165276,local,0.004468723770907184,6.73441834681992e-11,0.9999999849298845,False,0.8154753215150043,0.09289782396188673,False,707.1067811865474,1.231521316936437,False
271,0.91875,708.3333333333333,transmission,45.0,s,110.0,5.112151562255805e-11,7.539467930815077e-10,2.7458091577557017e-05,1.0735275611570222e-06,2.7815047418562963e-05,4.203230870166233e-06,0.971276018450156,0.48469113215290144,2.187368713195014e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.91875,708.3333333333333,70.00001345079414,9.999964744752504,725.0,11.7,0.18708133490845644,31.623005675572777,0.9187559953309801,708.3353558062988,0.695395874130011,0.8507259324922704,1.4851322653934589,0.17322873962260252,-1.3450794142499944e-05,1.3450794142499944e-05,0.0,0.0,3.525524749647957e-05,3.525524749647957e-05,-0.00022907388898474323,0.00022907388898474323,-0.002022472965563793,0.002022472965563793,0.0,0.0,1.5344302406461452e-06,1.5344302406461452e-06,-5.995330980113067e-06,5.995330980113067e-06,1.0862094404646526e-06,1271.0,0.3434895847845366,1.0747432846429858e-06,91.21675622029896,local,0.005416559088221115,5.112151562255805e-11,0.9999999905619943,False,0.8154753215150043,0.10328067381597572,False,707.1067811865474,1.2285746197513845,False
272,0.9291666666666666,708.3333333333333,transmission,45.0,s,110.0,5.823792212176859e-11,7.186271511474986e-10,2.6807221996087148e-05,1.051426292623753e-06,2.713636819813161e-05,3.5470047935783067e-06,0.9706501033868272,0.4836392782972295,5.954278015909901e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.9291666666666666,708.3333333333333,70.00004397382634,9.999969727250782,725.0,11.7,0.1870972380128338,31.627034374273798,0.9291839052366418,708.3373242129703,0.6954106121060907,0.8506536215194059,1.4767772408827475,0.17128465333389759,-4.397382633669622e-05,4.397382633669622e-05,0.0,0.0,3.0272749217630235e-05,3.0272749217630235e-05,-0.00425777259000526,0.00425777259000526,-0.003990879637058242,0.003990879637058242,0.0,0.0,-1.4368674136705506e-05,1.4368674136705506e-05,-1.7238569975264184e-05,1.7238569975264184e-05,1.091044456087457e-06,1272.0,0.3450185509735925,1.051483812628244e-06,91.43449185654417,local,0.006429893065559548,5.823792212176859e-11,0.9999999909426297,False,0.8154753215150043,0.1137085837216375,False,707.1067811865474,1.230543026422879,False
273,0.9395833333333332,708.3333333333333,transmission,45.0,s,110.0,5.7373017991165474e-11,7.38931628837767e-10,2.7183296872119227e-05,1.0694940643804298e-06,2.751655766244566e-05,3.401430135778656e-06,0.9700002401882323,0.48265019786015956,4.537079543990117e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.9395833333333332,708.3333333333333,70.00008269046262,9.999819635036188,725.0,11.7,0.18709480102307366,31.625593881586866,0.9395833801590624,708.3228683369983,0.6953993041467219,0.8506647016464524,1.4685668994941456,0.1693888445163344,-8.269046261943913e-05,8.269046261943913e-05,0.0,0.0,0.00018036496381235168,0.00018036496381235168,-0.002817279903073455,0.002817279903073455,0.010464996334917487,0.010464996334917487,0.0,0.0,-1.193168437657599e-05,1.193168437657599e-05,-4.682572918301986e-08,4.682572918301986e-08,1.09578169558903e-06,1273.0,0.3465165976382617,1.073827690883313e-06,91.27882680661227,local,0.007504367511568647,5.7373017991165474e-11,0.9999999923547164,False,0.8154753215150043,0.12410805864405805,False,707.1067811865474,1.2160871504509032,False
274,0.95,708.3333333333333,transmission,45.0,s,110.0,5.8124915610373927e-11,7.892852176487575e-10,2.8094220360222805e-05,1.1086838923037097e-06,2.8438635326423853e-05,3.5900625393447266e-06,0.9693275647663191,0.48165102009510996,1.0969134185919532e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.95,708.3333333333333,70.00001757935041,10.000010406110517,725.0,11.7,0.18710590021659748,31.629069504632366,0.9500325749424924,708.3404218505596,0.6954168878463892,0.8506142398911762,1.4604864471546377,0.16752577468359897,-1.7579350412688655e-05,1.7579350412688655e-05,0.0,0.0,-1.0406110517280354e-05,1.0406110517280354e-05,-0.006292902948572987,0.006292902948572987,-0.007088517226293334,0.007088517226293334,0.0,0.0,-2.3030877900398483e-05,2.3030877900398483e-05,-3.2574942492424874e-05,3.2574942492424874e-05,1.100423834999579e-06,1274.0,0.3479845710135983,1.1126346388646078e-06,90.99675103585768,local,0.008634153421314615,5.8124915610373927e-11,0.9999999932680237,False,0.8154753215150043,0.13455725342748803,False,707.1067811865474,1.233640664012114,False
275,0.7,729.1666666666666,transmission,45.0,s,110.0,6.71440335434444e-11,7.313740104461783e-10,2.704392742273537e-05,9.558434918021412e-07,2.7461768187474908e-05,3.1327728624722453e-06,0.988684659300702,0.5046572990181841,4.256878053840141e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7,729.1666666666666,69.99996341449801,10.000050689890433,725.0,11.7,0.18707878469227177,31.622995291247303,0.700007796152028,729.1726845079435,0.6954004996770052,0.8507375293980625,1.7262731825068056,0.22736167220819065,3.658550198792909e-05,3.658550198792909e-05,0.0,0.0,-5.06898904326647e-05,5.06898904326647e-05,-0.00021868956351056568,0.00021868956351056568,-0.006017841276843683,0.006017841276843683,0.0,0.0,4.084646425317473e-06,4.084646425317473e-06,-7.796152028061165e-06,7.796152028061165e-06,9.576272985380549e-07,1275.0,0.3028283412934286,9.58442432793311e-07,91.33501549997413,local,0.01860445464368214,6.71440335434444e-11,0.99999999639097,False,0.8154753215150043,-0.11546752536297633,False,707.1067811865474,22.065903321396036,False
